Availability;Caption;ClassGuid;CompatibleID;ConfigManagerErrorCode;ConfigManagerUserConfig;CreationClassName;Description;DeviceID;ErrorCleared;ErrorDescription;HardwareID;InstallDate;LastErrorCode;Manufacturer;Name;PNPClass;PNPDeviceID;PowerManagementCapabilities;PowerManagementSupported;Present;Service;Status;StatusInfo;SystemCreationClassName;SystemName
"";BE0085;{f2e7dd72-6468-4e36-b6f1-6488f42c1b52};{UEFI\CC_00010001, GenFirmwareResource};0;False;Win32_PnPEntity;BE0085;UEFI\RES_{00A486B1-A748-4088-9B2F-42477B59B21C}\0;"";"";{UEFI\RES_{00a486b1-a748-4088-9b2f-42477b59b21c}&REV_55, UEFI\RES_{00a486b1-a748-4088-9b2f-42477b59b21c}};"";"";Intel Corporation.;BE0085;Firmware;UEFI\RES_{00A486B1-A748-4088-9B2F-42477B59B21C}\0;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";SAMSUNG MZVLW256HEHP-000L7;{4d36e967-e325-11ce-bfc1-08002be10318};{SCSI\Disk, SCSI\RAW, Disk1667};0;False;Win32_PnPEntity;Laufwerk;SCSI\DISK&VEN_NVME&PROD_SAMSUNG_MZVLW256\5&2CCF8DB8&0&000000;"";"";{SCSI\DiskNVMe__________________SAMSUNG_MZVLW256HEHP-000L75L7QCXB7, SCSI\DiskNVMe__________________SAMSUNG_MZVLW256HEHP-000L7, SCSI\DiskNVMe____SAMSUNG_MZVLW256CXB7, SCSI\DiskNVMe____SAMSUNG_MZVLW256, SCSI\DiskNVMe____, SCSI\NVMe____SAMSUNG_MZVLW256C, NVMe____SAMSUNG_MZVLW256C, GenDisk};"";"";(Standardlaufwerke);SAMSUNG MZVLW256HEHP-000L7;DiskDrive;SCSI\DISK&VEN_NVME&PROD_SAMSUNG_MZVLW256\5&2CCF8DB8&0&000000;"";"";True;disk;OK;"";Win32_ComputerSystem;NUC
"";AVM FRITZ!Mediaserver;{62f9c741-b25a-46ce-b54c-9bccce08b6f2};{UMB\urn:schemas-upnp-org:device:MediaServer:1, SWD\GenericRaw, SWD\Generic};0;False;Win32_PnPEntity;Generisches Softwaregerät;SWD\DAFUPNPPROVIDER\UUID:FA095ECC-E13E-40E7-8E6C-74427FA661E3;"";"";{UMB\AVM_Berlin/FRITZ!Box_7590/avm/urn:schemas-upnp-org:device:MediaServer:1, UMB\AVM_Berlin/FRITZ!Box_7590/urn:schemas-upnp-org:device:MediaServer:1};"";"";AVM Berlin;AVM FRITZ!Mediaserver;SoftwareDevice;SWD\DAFUPNPPROVIDER\UUID:FA095ECC-E13E-40E7-8E6C-74427FA661E3;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";DigitRadio 520 002261282380;{14b62f50-3f15-11dd-ae16-0800200c9a66};{UMB\MS_DigitalMediaDeviceClass_DMR_V001, SWD\GenericRaw, SWD\Generic};0;False;Win32_PnPEntity;Digitales Mediengerät;SWD\DAFUPNPPROVIDER\UUID:3DCC7100-F76C-11DD-87AF-002261282380;"";"";{UMB\VEN_2A2D&DEV_0001&SUBSYS_0001&REV_01};"";"";Technisat;DigitRadio 520 002261282380;DigitalMediaDevices;SWD\DAFUPNPPROVIDER\UUID:3DCC7100-F76C-11DD-87AF-002261282380;"";"";True;UmPass;OK;"";Win32_ComputerSystem;NUC
"";Intel(R) Graphics Command Center;{5c4c3332-344d-483c-8739-259e934c9cc8};{SWC\Generic, SWD\GenericRaw, SWD\Generic};0;False;Win32_PnPEntity;Intel(R) Graphics Command Center;SWD\DRIVERENUM\IGCC&4&2706F5B0&0;"";"";{SWC\100.8681_VEN8086_IGCC};"";"";Intel Corporation;Intel(R) Graphics Command Center;SoftwareComponent;SWD\DRIVERENUM\IGCC&4&2706F5B0&0;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Microsoft Wi-Fi Direct Virtual Adapter;{4d36e972-e325-11ce-bfc1-08002be10318};{{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd};0;False;Win32_PnPEntity;Virtueller Microsoft Wi-Fi Direct-Adapter;{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&AF3822&0&11;"";"";{{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd};"";"";Microsoft;Microsoft Wi-Fi Direct Virtual Adapter;Net;{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&AF3822&0&11;"";"";True;vwifimp;OK;"";Win32_ComputerSystem;NUC
"";Microsoft Wi-Fi Direct Virtual Adapter #2;{4d36e972-e325-11ce-bfc1-08002be10318};{{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd};0;False;Win32_PnPEntity;Virtueller Microsoft Wi-Fi Direct-Adapter;{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&AF3822&0&12;"";"";{{5d624f94-8850-40c3-a3fa-a4fd2080baf3}\vwifimp_wfd};"";"";Microsoft;Microsoft Wi-Fi Direct Virtual Adapter #2;Net;{5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\4&AF3822&0&12;"";"";True;vwifimp;OK;"";Win32_ComputerSystem;NUC
"";Fax;{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc};{GenPrintQueue, SWD\GenericRaw, SWD\Generic};0;False;Win32_PnPEntity;Lokale Druckwarteschlange;SWD\PRINTENUM\{730CB736-A394-41C8-A695-3214EC3DEAE7};"";"";{PRINTENUM\microsoftmicrosoft_s7d14, PRINTENUM\LocalPrintQueue, microsoftmicrosoft_s7d14};"";"";Microsoft;Fax;PrintQueue;SWD\PRINTENUM\{730CB736-A394-41C8-A695-3214EC3DEAE7};"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Microsoft-Systemverwaltungs-BIOS-Treiber;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Microsoft-Systemverwaltungs-BIOS-Treiber;ROOT\MSSMBIOS\0000;"";"";{ROOT\mssmbios};"";"";(Standardsystemgeräte);Microsoft-Systemverwaltungs-BIOS-Treiber;System;ROOT\MSSMBIOS\0000;"";"";True;mssmbios;OK;"";Win32_ComputerSystem;NUC
"";Hauptplatinenressourcen;{4d36e97d-e325-11ce-bfc1-08002be10318};{*PNP0C02};0;False;Win32_PnPEntity;Hauptplatinenressourcen;ACPI\INT340E\2&DABA3FF&0;"";"";{ACPI\VEN_INT&DEV_340E, ACPI\INT340E, *INT340E};"";"";(Standardsystemgeräte);Hauptplatinenressourcen;System;ACPI\INT340E\2&DABA3FF&0;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
